Ecosystem Indicators,Type,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PDO_DecMarch,Climate,5.07,-1.75,-4.17,1.86,-1.73,7.45,1.85,2.44,1.94,-0.17,-3.06,-5.41,2.17,-3.65,-5.07,-1.67,1.24,9.26,6.69,3.38,1.52,2.01,-0.76,-2.77
PDO_MaySept),Climate,-0.37,-5.13,-3.58,-4.22,-0.26,3.42,2.96,3.48,0.28,0.91,-7.63,-1.11,-3.53,-6.45,-7.79,-3.47,5.07,8.08,6.6,2.18,0.45,3.94,-1.35,-6.64
ONI,Climate,1.12,-1.07,-1.07,-0.4,0.18,0.27,0.2,0.47,-0.3,0.08,-0.98,-0.23,0.55,-0.72,-0.43,-0.3,-0.28,0.67,1.22,0.13,-0.45,0.72,0.28,-0.72
SST,Local Physical,13.77,13.2,13.33,12.98,13.05,13.56,14.68,13.58,12.73,13.64,12.45,13.44,12.76,13.23,13.34,13.72,14.03,13.89,13.83,13.59,13.71,14.68,13.4,12.95
Upper_20m_NovMar,Local Physical,12.3,10.31,10.12,10.22,10.08,10.7,10.86,10.61,10.59,10.04,9.33,10.19,11.01,10.02,9.62,10.12,9.62,12.73,12.03,11.47,10.63,10.99,9.37,10.12
Upper_20m_MaySept,Local Physical,10.35,10.07,10.16,9.76,8.99,9.62,11.31,10.73,9.97,10.07,9.3,9.9,10.42,9.95,9.92,10.43,10.95,10.69,10.32,10.14,10.34,11.31,10.87,9.85
Deep_temperature,Local Physical,8.59,7.63,7.74,7.56,7.46,7.81,7.88,7.97,7.83,7.58,7.48,7.73,7.89,7.81,7.56,7.94,8.38,8.14,7.89,8.06,8.11,8.04,8.68,7.54
Deep_salinity,Local Physical,33.54,33.86,33.78,33.86,33.85,33.68,33.66,33.77,33.85,33.88,33.87,33.72,33.61,33.75,33.75,33.76,33.53,33.71,33.83,33.85,33.85,33.79,33.54,33.89
Copepod_richness,Local Biological,4.54,-2.58,-3.41,-1.03,-1.12,1.99,1.42,4.39,2.68,-0.63,-0.76,-0.65,3.12,-2.13,-1.31,-2.51,-0.11,7.42,8.15,2.79,0.39,0.05,-1.68,-2.45
N_copepod,Local Biological,-0.76,0.04,0.15,0.15,0.29,-0.13,0.05,-0.85,-0.01,0.14,0.26,0.15,0.16,0.44,0.39,0.28,0.26,-0.28,-0.89,-0.63,0.22,0.4,0.48,0.56
S_copepod,Local Biological,0.6,-0.23,-0.21,-0.22,-0.23,0.09,0.2,0.55,0.07,-0.07,-0.23,-0.19,0.21,-0.14,-0.19,-0.2,-0.02,0.41,0.5,0.31,0,0.12,-0.15,-0.22
Biological_transition,Local Biological,209,134,97,79,120,156,146,230,150,81,64,65,169,82,125,91,91,365,365,187,149,156,97,106
Nearshore_Ichthyoplankton,Local Biological,0.48,1.64,0.97,1.27,1.95,0.4,0.32,0.49,1.16,0.48,1.64,0.62,1.87,1.21,1.55,1.09,0.46,0.51,0.49,0.64,1.12,0.43,1.25,1.39
Ichthy_community_index,Local Biological,-9.47,-20.44,-28.9,-14.48,-13.98,-2.29,19.37,33.14,-32.5,9.04,-31.77,-3.8,11.26,-29.42,-32.83,-16.73,-14.22,30.37,33.58,38.82,28.84,32.46,12.77,3.87
Chinook_salmon_juv,Local Biological,0.09,0.29,0.22,0.12,0.23,0.2,0.15,0.06,0.17,0.18,0.43,0.22,0.24,0.16,0.29,0.25,0.22,0.15,0.11,0.02,0.12,0.16,0.08,0.18
Coho_salmon_juv,Local Biological,0.08,0.28,0.24,0.44,0.42,0.43,0.22,0.07,0.25,0.47,0.45,0.33,0.31,0.25,0.26,0.49,0.3,0.26,0.26,0.07,0.46,0.26,0.24,0.27
Principal Component scores (PC1),Other,4.65,-2.87,-2.54,-2.16,-2.82,1.09,2.42,3.88,-0.52,-0.86,-5.03,-1.61,0.23,-2.6,-3.28,-2.01,0.54,5.39,5.38,3.16,0.12,2.33,0.04,-2.92
Principal Component scores (PC2),Other,0.28,-0.69,0.62,-0.99,-1.84,-0.7,2.05,-0.56,-1.4,-0.12,-1.71,0.67,-0.65,0.61,0.05,1.07,3.18,-1.26,-2.54,-0.94,0.18,1.99,3.26,-0.55
"Physical Spring Trans.
UI based (day of year)",Other,83,88,134,120,84,109,113,142,109,70,87,82,95,105,123,97,129,103,86,116,105,109,94,81
Physical Spring Trans. Hydrographic (day of year),Other,187,119,142,129,120,141,157,209,123,136,102,136,169,119,140,106,162,124,164,179,157,156,179,106
"Upwelling Anomaly
(Sum April-May)",Other,-14,19,-36,2,-12,-34,-27,-55,-14,9,0,-5,-35,-36,-35,-21,-37,50,28,-45,8,14,-27,30
"Length of Upwelling Season
UI based (days)",Other,191,205,151,173,218,168,177,129,195,201,179,201,161,153,161,163,133,175,186,172,189,178,157,178
"Copepod Community Index
(MDS axis 1 scores; May-Sept)",Other,0.64,-0.96,-0.89,-0.85,-0.95,-0.24,-0.26,0.49,-0.12,-0.71,-0.98,-0.86,-0.31,-0.73,-0.87,-0.92,-0.47,0.43,0.76,0.36,-0.36,-0.25,-0.68,-0.96