Time,Day,Month,Year,Rainfall
1,1,11,2018,0.02
2,2,11,2018,0.22
3,3,11,2018,0.17
4,4,11,2018,0.12
5,5,11,2018,0
6,6,11,2018,0.05
7,7,11,2018,0.05
8,8,11,2018,0
9,9,11,2018,0.1
10,10,11,2018,0.01
11,11,11,2018,0
12,12,11,2018,0
13,13,11,2018,0
14,14,11,2018,0.04
15,15,11,2018,0.01
16,16,11,2018,0.01
17,17,11,2018,0
18,18,11,2018,0
19,19,11,2018,0
20,20,11,2018,0
21,21,11,2018,0.12
22,22,11,2018,0.5
23,23,11,2018,0.6
24,24,11,2018,0
25,25,11,2018,0
26,26,11,2018,1.36
27,27,11,2018,0.71
28,28,11,2018,0.24
29,29,11,2018,0
30,30,11,2018,0.18
31,1,12,2018,0.06
32,2,12,2018,0.04
33,3,12,2018,0
34,4,12,2018,0
35,5,12,2018,0
36,6,12,2018,0
37,7,12,2018,0
38,8,12,2018,0.01
39,9,12,2018,0.53
40,10,12,2018,0.09
41,11,12,2018,0.51
42,12,12,2018,0.08
43,13,12,2018,0.22
44,14,12,2018,0
45,15,12,2018,0.1
46,16,12,2018,0.48
47,17,12,2018,0.57
48,18,12,2018,0.59
49,19,12,2018,0
50,20,12,2018,0.24
51,21,12,2018,0
52,22,12,2018,0.33
53,23,12,2018,0.68
54,24,12,2018,0
55,25,12,2018,0
56,26,12,2018,0.1
57,27,12,2018,0.05
58,28,12,2018,0.37
59,29,12,2018,0.62
60,30,12,2018,0
61,31,12,2018,0
62,1,1,2019,0
63,2,1,2019,0
64,3,1,2019,0.69
65,4,1,2019,0.11
66,5,1,2019,0.08
67,6,1,2019,0.35
68,7,1,2019,0
69,8,1,2019,0.2
70,9,1,2019,0.25
71,10,1,2019,0.12
72,11,1,2019,0
73,12,1,2019,0
74,13,1,2019,0
75,14,1,2019,0
76,15,1,2019,0
77,16,1,2019,0
78,17,1,2019,0.06